가게명,지역화폐,메뉴,가격,주메뉴,동,평균가격,가격점수,위생점수,총 점수
자양감자탕,O, 뼈해장국,10000,특수 탕류,자양동,20745.31,33.74256639211465,8.0,41.74256639211465
원조풍천장어,X,민물장어 소금구이,28000,특수 해산물,자양동,34980.56,56.03112128565124,8.0,64.03112128565124
거시기대구뽈찜,O,뽈지리탕 (소),26000,특수 해산물,중곡동,34980.56,52.02889833667614,8.0,60.02889833667614
아낙네,O,아구찜(소),30000,특수 해산물,자양동,34980.56,60.03334423462633,8.0,68.03334423462633
바다가내손아귀 자양점,X,아구찜[무료배달],30000,특수 해산물,자양동,34980.56,60.03334423462633,8.0,68.03334423462633
강변꼼장어쭈꾸미,X, 산꼼장어양념(1인),32000,특수 해산물,구의동,34980.56,64.03556718360142,8.0,72.03556718360142
땡초꼼장어 구의본점,X, 쭈꾸미 (1인분),14000,특수 해산물,구의동,34980.56,28.01556064282562,8.0,36.01556064282562
한강풍천장어,O,무뼈닭발 300g,18000,특수 해산물,자양동,34980.56,36.02000654077579,8.0,44.02000654077579
최고집풍천장어,O, 장어탕,12000,특수 해산물,구의동,34980.56,24.013337693850527,8.0,32.01333769385053
장어시대 자양점,X,민물장어(1인분),32000,특수 해산물,자양동,34980.56,64.03556718360142,8.0,72.03556718360142
찌마기 구의점,X, 찌마기 물회,33000,특수 해산물,구의동,34980.56,66.03667865808895,8.0,74.03667865808895
크래버 대게나라 광장점,X,대게탕,25000,특수 해산물,중곡동,34980.56,50.0277868621886,8.0,58.0277868621886
수현민물장어,O,장어 고추장구이,30000,특수 해산물,자양동,34980.56,60.03334423462633,8.0,68.03334423462633
고창풍천민물장어,O,[최고원기충전] 장어 1마리세트,26000,특수 해산물,자양동,34980.56,52.02889833667614,-30.0,22.028898336676143
화원정,O, 통복매운탕,17000,특수 해산물,화양동,34980.56,34.01889506628825,8.0,42.01889506628825
장어굽는총각들 건대직영점,X,민물장어 특대(1마리),28000,특수 해산물,화양동,34980.56,56.03112128565124,8.0,64.03112128565124
미식일가,X, 조개찜(미니),25900,특수 해산물,군자동,34980.56,51.82878718922739,8.0,59.82878718922739
짱구네아구찜탕,X, 점심특가(~오후3시까지),25000,특수 해산물,군자동,34980.56,50.0277868621886,8.0,58.0277868621886
택이네조개전골 군자역점,X, 조개 칼국수,11000,특수 해산물,중곡동,34980.56,22.012226219362983,8.0,30.012226219362983
자매찜나라,X, 아귀찜 (소),32000,특수 해산물,군자동,34980.56,64.03556718360142,-30.0,34.035567183601415
인생아구찜 건대점,X,콜라겐 아구찜(추천),23000,특수 해산물,구의동,34980.56,46.02556391321351,8.0,54.02556391321351
장원참숯민물장어,X, 고추장구이 (1마리),31000,특수 해산물,군자동,34980.56,62.03445570911387,-30.0,32.03445570911387
섬진강풍천장어직판장,X,장어정식 (점심특선),21000,특수 해산물,군자동,34980.56,42.02334096423842,8.0,50.02334096423842
타박이숯불꼼장어 구의점,X, 숯불LA소갈비(200g),15000,"해물,생선",구의동,25275.83,41.5416625289852,8.0,49.5416625289852
호남식당,O, 차돌된장찌개,10000,"해물,생선",자양동,25275.83,27.69444168599013,-30.0,-2.3055583140098683
햇살담은생선구이,X, 고등어구이,9000,"해물,생선",자양동,25275.83,24.92499751739112,8.0,32.92499751739112
삼대고등어명장 광장직영점,X,모듬생선정식 (2인이상),17000,"해물,생선",구의동,25275.83,47.08055086618323,8.0,55.08055086618323
용두삼겹살 쭈꾸미,X,우삼겹쭈꾸미(1인분),17000,"해물,생선",중곡동,25275.83,47.08055086618323,8.0,55.08055086618323
피읖 제페니즈다이닝,X,도다리사시미,15000,"해물,생선",중곡동,25275.83,41.5416625289852,8.0,49.5416625289852
부뚜막쭈꾸미,X, 우삼겹쭈꾸미볶음(2인이상),18000,"해물,생선",자양동,25275.83,49.84999503478224,8.0,57.84999503478224
얼큰이동태탕찜,X, 동태탕,24000,"해물,생선",자양동,25275.83,66.46666004637632,8.0,74.46666004637632
고향집,O,쭈꾸미구이 (200g),15000,"해물,생선",구의동,25275.83,41.5416625289852,-30.0,11.5416625289852
자매코다리,X,갑오징어(볶음)덮밥,11000,"해물,생선",중곡동,25275.83,30.463885854589147,8.0,38.46388585458915
어울림,O,매생이굴국밥,8000,"해물,생선",광장동,25275.83,22.155553348792107,8.0,30.155553348792107
제주뜰갈치전문점,O,빌레 큰 고등어구이,13000,"해물,생선",구의동,25275.83,36.002774191787175,8.0,44.002774191787175
제주뜰향갈치전문점 중곡점,X, 세트2,23000,"해물,생선",중곡동,25275.83,63.6972158777773,8.0,71.6972158777773
오늘도낙지,O,매콤탱글 낙지볶음밥,10000,"해물,생선",광장동,25275.83,27.69444168599013,25.0,52.69444168599013
신선산낙지삼겹살,X, 오징어볶음,10000,"해물,생선",자양동,25275.83,27.69444168599013,8.0,35.69444168599013
무교동낙지 구의점,X,낙지볶음(추천메뉴)(1인분)(공기밥 별도),16000,"해물,생선",구의동,25275.83,44.311106697584215,8.0,52.311106697584215
미나리향오징어,X, 오삼불볶음(1인),15000,"해물,생선",자양동,25275.83,41.5416625289852,8.0,49.5416625289852
미가담,O,보리밥제육정식,13000,"해물,생선",구의동,25275.83,36.002774191787175,25.0,61.002774191787175
쭈꾸미신,X,쭈삼(겹살),17000,"해물,생선",화양동,25275.83,47.08055086618323,8.0,55.08055086618323
미스코다리 미스터황태 어린이대공원점,X,황태철판구이정식,9000,"해물,생선",능동,25275.83,24.92499751739112,8.0,32.92499751739112
연어시장 군자점,X,생연어,16500,"해물,생선",능동,25275.83,45.69582878188371,8.0,53.69582878188371
구의 생태대구동태전문,X, 동태탕,8000,"해물,생선",구의동,25275.83,22.155553348792107,8.0,30.155553348792107
과장님댁시즌2,X, 삼치 소금구이,14000,"해물,생선",화양동,25275.83,38.77221836038619,-30.0,8.77221836038619
주꾸미3,X, 쭈삼(겹살),12000,"해물,생선",화양동,25275.83,33.23333002318816,8.0,41.23333002318816
바다와갯벌,O,광어(중),25000,"해물,생선",자양동,25275.83,69.23610421497533,8.0,77.23610421497533
명태어장갑오징어 자양점,X,매콤명태조림(1인분),13000,"해물,생선",자양동,25275.83,36.002774191787175,8.0,44.002774191787175
미친쭈꾸미 건대본점,X, 쭈꾸미삼겹살,15000,"해물,생선",화양동,25275.83,41.5416625289852,8.0,49.5416625289852
대구생태한마리 건대점,X, 매콤명태조림(소),25000,"해물,생선",화양동,25275.83,69.23610421497533,8.0,77.23610421497533
쭈꾸미도사 건대점,X, 쭈곱새,16000,"해물,생선",화양동,25275.83,44.311106697584215,8.0,52.311106697584215
소문난홍어,X, 홍어무침,15000,"해물,생선",구의동,25275.83,41.5416625289852,8.0,49.5416625289852
육회한연어 건대점,X,육회 180g,14900,"해물,생선",화양동,25275.83,41.264718112125294,8.0,49.264718112125294
지금육회연어,X, 1＋＋한우육사시미100g＋육회100g,20900,"해물,생선",자양동,25275.83,57.88138312371938,8.0,65.88138312371939
명태골,O, 된장찌개＋공기밥,8000,"해물,생선",구의동,25275.83,22.155553348792107,8.0,30.155553348792107
바다수퍼해물천하조개구이찜 구의점,X, 석화회,18000,"해물,생선",자양동,25275.83,49.84999503478224,8.0,57.84999503478224
진부령황태마을,X, 황태비빔밥,7000,"해물,생선",구의동,25275.83,19.38610918019309,8.0,27.38610918019309
오징어청춘 구의점,X, 오징어포사시미,17000,"해물,생선",구의동,25275.83,47.08055086618323,8.0,55.08055086618323
신쵸쭈꾸미,O,원조 쭈꾸미(1인)(2인이상),15000,"해물,생선",구의동,25275.83,41.5416625289852,8.0,49.5416625289852
회이크,X,숙성 모둠회 혼술,23000,회,중곡동,33927.84,47.45365457983768,8.0,55.45365457983768
선남씨 자양점,X, 다이닝코스 (1인기준),25000,회,자양동,33927.84,51.58005932591053,8.0,59.58005932591053
광어2마리15000원,O,광어(소),15000,회,중곡동,33927.84,30.948035595546315,-30.0,0.9480355955463152
청정활어회직판장,O,쌈야채추가,2000,회,중곡동,33927.84,4.126404746072842,-30.0,-25.87359525392716
동해안이야기,O, 전복물회,22000,회,중곡동,33927.84,45.390452206801264,8.0,53.390452206801264
어사출또 건대점,X,광어,10000,회,화양동,33927.84,20.632023730364207,8.0,28.632023730364207
만원수산 건대점,X,만만이(광어+우럭),25000,회,화양동,33927.84,51.58005932591053,8.0,59.58005932591053
어사랑횟집,X,모듬회(중),33000,회,화양동,33927.84,68.0856783102019,8.0,76.0856783102019
포항막회물회,X,물회,29000,회,화양동,33927.84,59.83286881805621,8.0,67.83286881805621
건대사시미,X,모듬 해산물 물회,30000,회,화양동,33927.84,61.89607119109263,8.0,69.89607119109263
영일만수산시장,O, 보쌈정식,15000,회,중곡동,33927.84,30.948035595546315,8.0,38.94803559554632
영원참치초밥,O, 모밀정식,8000,회,중곡동,33927.84,16.505618984291367,8.0,24.505618984291367
독도마루참치,O, 대구탕(점심특선),10000,회,중곡동,33927.84,20.632023730364207,8.0,28.632023730364207
키움 참치 구의점,X, 참치 초밥,15000,회,구의동,33927.84,30.948035595546315,8.0,38.94803559554632
국선참치 능동점,X, 참치&연어 （10＋10）,20000,회,능동,33927.84,41.26404746072842,8.0,49.26404746072842
생참치정육점,O,오도로 100g,30000,회,화양동,33927.84,61.89607119109263,8.0,69.89607119109263
e참치세상 군자점,X,참치회(1인분),19000,회,군자동,33927.84,39.200845087692,8.0,47.200845087692
하나참치 군자,X,벚꽃,33000,회,군자동,33927.84,68.0856783102019,8.0,76.0856783102019
자갈치막회 자양본점,X,산꼼장어 (1인분),20000,회,자양동,33927.84,41.26404746072842,8.0,49.26404746072842
동신참치 강변테크노마트점,X,초밥정식 A,16000,회,구의동,33927.84,33.01123796858274,8.0,41.01123796858274
바다킹수산98랍스터,X,초밥,12000,회,구의동,33927.84,24.75842847643705,8.0,32.75842847643705
아부지가어부 구의점,X,아부해물몪음,32000,회,구의동,33927.84,66.02247593716547,8.0,74.02247593716547
청춘종합어시장,O,[석화],22000,회,구의동,33927.84,45.390452206801264,-30.0,15.390452206801264
북해도,O, 알탕,20000,회,군자동,33927.84,41.26404746072842,8.0,49.26404746072842
태평양수산회세꼬시,O, 회덮밥,13000,회,군자동,33927.84,26.821630849473472,30.0,56.82163084947347
독도수산,O,광어 (소),30000,회,자양동,33927.84,61.89607119109263,8.0,69.89607119109263
옥이네수산,O, 전복(3미),18000,회,구의동,33927.84,37.137642714655584,8.0,45.137642714655584
백일도,O,광어&연어,30000,회,중곡동,33927.84,61.89607119109263,8.0,69.89607119109263
압구정화로구이 군자역점,X,황제갈비살 (100g),7900,"육류,고기",군자동,20441.05,27.053404790849783,8.0,35.05340479084978
백삼호,X, 토시살,10800,"육류,고기",자양동,20441.05,36.98440148622503,8.0,44.98440148622503
배가네논밭집,O,제육불고기 도시락,8900,"육류,고기",구의동,20441.05,30.4778864099447,8.0,38.4778864099447
동적깡통구이 구의점,X,삼겹살 정식,16000,"육류,고기",구의동,20441.05,54.79170590551856,8.0,62.79170590551856
마가을고기 어린이대공원점,X, 삼겹살(200g),13000,"육류,고기",군자동,20441.05,44.51826104823382,8.0,52.51826104823382
주돈,O, 통목살,15000,"육류,고기",군자동,20441.05,51.36722428642365,8.0,59.36722428642365
마루고기,O, 눈꽃 목살,18000,"육류,고기",자양동,20441.05,61.64066914370837,8.0,69.64066914370838
우량아,X, 뼈없는 닭목살구이 (200g),15000,"육류,고기",자양동,20441.05,51.36722428642365,8.0,59.36722428642365
스미야끼,O, 최고급와규갈비살(120g),14900,"육류,고기",구의동,20441.05,51.02477612451416,8.0,59.02477612451416
육즈비나르샤,X,수제돼지갈비(200g),9800,"육류,고기",구의동,20441.05,33.55991986713011,8.0,41.55991986713011
숙성부심,O,삼겹살(160g),17000,"육류,고기",군자동,20441.05,58.21618752461347,8.0,66.21618752461347
정성생고기,O, 생목살,15000,"육류,고기",구의동,20441.05,51.36722428642365,8.0,59.36722428642365
본전주먹구이,O,생삼겹주먹구이 (180g),16000,"육류,고기",군자동,20441.05,54.79170590551856,-30.0,24.79170590551856
9공탄,X,통삼겹살,16000,"육류,고기",구의동,20441.05,54.79170590551856,8.0,62.79170590551856
무쇠집,O,갈매기살 (250g),12000,"육류,고기",구의동,20441.05,41.09377942913891,-30.0,11.093779429138912
고담,X, 갈매기살,15000,"육류,고기",자양동,20441.05,51.36722428642365,8.0,59.36722428642365
우리가쓰리고,X,갈비살,13000,"육류,고기",구의동,20441.05,44.51826104823382,8.0,52.51826104823382
최고애구이가,X, 생목살 (180g),14000,"육류,고기",자양동,20441.05,47.94274266732874,8.0,55.94274266732874
지리산정육식당,O,한우차돌박이(100g),19000,"육류,고기",구의동,20441.05,65.06515076280328,-30.0,35.065150762803285
고향토종흑돼지,O, 생삼겹살(1인분),14000,"육류,고기",중곡동,20441.05,47.94274266732874,-30.0,17.942742667328737
청정지리산흑돈,O, 흑돼지목살,16000,"육류,고기",자양동,20441.05,54.79170590551856,8.0,62.79170590551856
제육감 본점,X,[] 1인 직화 고추장제육 백반 도시락,12900,"육류,고기",화양동,20441.05,44.17581288632434,8.0,52.17581288632434
배달육회육회한가득 구의점,X, 혼자육회（150g）,18000,"육류,고기",구의동,20441.05,61.64066914370837,8.0,69.64066914370838
뒷고기클라쓰,X,쌈싸먹는 제육볶음,8900,"육류,고기",구의동,20441.05,30.4778864099447,8.0,38.4778864099447
돌판구이우돈네,X, 두툼 목살(200g),13000,"육류,고기",구의동,20441.05,44.51826104823382,8.0,52.51826104823382
제주네솥뚜껑 건대점,X, 120시간 숙성 삼겹살,6900,"육류,고기",화양동,20441.05,23.62892317175488,8.0,31.62892317175488
아감한우정육식당,O, 육회비빔밥,8000,"육류,고기",중곡동,20441.05,27.39585295275928,-30.0,-2.604147047240719
쪽갈비대통령 아차산역점,X, 매운쪽갈비 1인분 400g,17000,"육류,고기",중곡동,20441.05,58.21618752461347,8.0,66.21618752461347
육회바른연어 강변테크노마트점,O,육바연 변신세트1（육회덮밥＋3단변신초밥3p）,12900,"육류,고기",구의동,20441.05,44.17581288632434,8.0,52.17581288632434
고깃집,O, 생삼겹(1인),15000,"육류,고기",자양동,20441.05,51.36722428642365,8.0,59.36722428642365
안동상회,O,한우 안창살(100g),17000,"육류,고기",구의동,20441.05,58.21618752461347,8.0,66.21618752461347
육회바른연어 구의역점,O,육바연육쫄세트(육회쫄면+육초6p),15900,"육류,고기",구의동,20441.05,54.44925774360906,8.0,62.44925774360906
화전별당,X,삼겹살(110g),3900,"육류,고기",구의동,20441.05,13.355478314470146,8.0,21.355478314470147
제주황금도야지,O,제주산 흑 도야지 삼겹살(150g),18000,"육류,고기",구의동,20441.05,61.64066914370837,8.0,69.64066914370838
황금돈삼겹살,O, 목살,13000,"육류,고기",자양동,20441.05,44.51826104823382,8.0,52.51826104823382
골목삼겹 광진점,X,[골목삼겹 시그니쳐] 삼겹/특제 비빔면 세트,18800,"육류,고기",구의동,20441.05,64.3802544389843,8.0,72.3802544389843
초박살껍데기,X,인생껍데기 (160g),7000,"육류,고기",화양동,20441.05,23.97137133366437,8.0,31.97137133366437
초신당한우곱도리탕 광진점,X, 대창 100g 사리 추가,4900,"육류,고기",화양동,20441.05,16.77995993356506,8.0,24.77995993356506
6casa,X,오겹(180g),14000,"육류,고기",중곡동,20441.05,47.94274266732874,8.0,55.94274266732874
고기검객,O,스테이크양념(200g),12000,"육류,고기",중곡동,20441.05,41.09377942913891,8.0,49.09377942913891
거북이삼겹살,X, 생목살(200g),15000,"육류,고기",중곡동,20441.05,51.36722428642365,8.0,59.36722428642365
삼삼이네생고기집 중곡직영점,X, 우삼겹살,13000,"육류,고기",중곡동,20441.05,44.51826104823382,8.0,52.51826104823382
문가네정육식당 군자역점,X, 소살치살(160g),19000,"육류,고기",중곡동,20441.05,65.06515076280328,8.0,73.06515076280328
용마골참생고기마을,X,제육쌈밥,10000,"육류,고기",중곡동,20441.05,34.244816190949095,8.0,42.244816190949095
광수육회 중곡본점,X,육회,11000,"육류,고기",중곡동,20441.05,37.66929781004401,8.0,45.66929781004401
더피그아웃,X,크리스피삼겹살(150g),13000,"육류,고기",화양동,20441.05,44.51826104823382,8.0,52.51826104823382
금강숯불생고기,O,삼겹살,15000,"육류,고기",중곡동,20441.05,51.36722428642365,8.0,59.36722428642365
고공 중곡점,O, 미삼겹,17000,"육류,고기",중곡동,20441.05,58.21618752461347,8.0,66.21618752461347
이특집 군자직영점,X, 주먹(160g),12900,"육류,고기",능동,20441.05,44.17581288632434,8.0,52.17581288632434
전나도프리미엄솥뚜껑구이,X, 세겹살 (100g),8000,"육류,고기",화양동,20441.05,27.39585295275928,8.0,35.395852952759284
아우네우리돼지생고기,X, 목살(1인분),15000,"육류,고기",자양동,20441.05,51.36722428642365,8.0,59.36722428642365
제육홀릭 건대점,X,[매콤/간장] 1인 제육 세트,13900,"육류,고기",화양동,20441.05,47.60029450541925,8.0,55.60029450541925
육연가 중곡본점,X,프리미엄한우육회비빔덮밥,10900,"육류,고기",중곡동,20441.05,37.32684964813452,8.0,45.32684964813452
미친생고기 군자역점,X, 소갈비살(1인분)(200g),20000,"육류,고기",중곡동,20441.05,68.48963238189819,8.0,76.48963238189819
제주탐하리,X,목살비계 (150g),16000,"육류,고기",중곡동,20441.05,54.79170590551856,8.0,62.79170590551856
공주껍데기,X, 항정껍데기(150g),7900,"육류,고기",화양동,20441.05,27.053404790849783,8.0,35.05340479084978
갱상도야채고기찜 건대점,X, 1인메뉴 우삼겹 야채고기찜,13500,"육류,고기",중곡동,20441.05,46.23050185778128,8.0,54.23050185778128
강쇠네,O, 목살,13000,"육류,고기",자양동,20441.05,44.51826104823382,-30.0,14.518261048233818
진육식당,O, 진육특목살 (180g),17000,"육류,고기",자양동,20441.05,58.21618752461347,8.0,66.21618752461347
도톰 본점,X,도톰삼겹살 (180g),16000,"육류,고기",중곡동,20441.05,54.79170590551856,8.0,62.79170590551856
연이네식당,O, 소갈비살(180g),19000,"육류,고기",화양동,20441.05,65.06515076280328,8.0,73.06515076280328
고기처럼 중곡점,X, 가브리살 (180g),15000,"육류,고기",중곡동,20441.05,51.36722428642365,8.0,59.36722428642365
도포식당,O, 특삼겹살,16000,"육류,고기",중곡동,20441.05,54.79170590551856,8.0,62.79170590551856
깡통고기,X, 갈매기 (1인분)(180g),11000,"육류,고기",중곡동,20441.05,37.66929781004401,8.0,45.66929781004401
북촌소한마리탕 화양점,X, 소 한마리탕 [[ 살코기만 ]],19000,"육류,고기",화양동,20441.05,65.06515076280328,8.0,73.06515076280328
석암생소금구이 건대점,O, 삼겹(160g),16000,"육류,고기",자양동,20441.05,54.79170590551856,8.0,62.79170590551856
도새기집,X, 오겹살 (200g),18000,"육류,고기",군자동,20441.05,61.64066914370837,8.0,69.64066914370838
만복고기마을,X,삼겹살,8900,"육류,고기",중곡동,20441.05,30.4778864099447,8.0,38.4778864099447
참숯뽈살구이,X, 생오겹살(200g),13000,"육류,고기",자양동,20441.05,44.51826104823382,8.0,52.51826104823382
참토우 구의점,X,진꽃살 (1인분),19000,"육류,고기",구의동,20441.05,65.06515076280328,8.0,73.06515076280328
당산오돌 구의역점,X,꼬들살 (200g),16000,"육류,고기",구의동,20441.05,54.79170590551856,8.0,62.79170590551856
화로구이 소요일 아차산직영점,X,양념소갈비살(1인),18000,"육류,고기",구의동,20441.05,61.64066914370837,8.0,69.64066914370838
고고기,O,친환경 삼겹살 (160g),14000,"육류,고기",구의동,20441.05,47.94274266732874,25.0,72.94274266732873
자양동등심집,X, 안창살,20000,"육류,고기",자양동,20441.05,68.48963238189819,8.0,76.48963238189819
강레오의차돌집 건대점,X, 나혼자 대패삼겹 도시락,13900,"육류,고기",군자동,20441.05,47.60029450541925,8.0,55.60029450541925
206숯불구이,O, 소살치살(150g),15000,"육류,고기",화양동,20441.05,51.36722428642365,8.0,59.36722428642365
설레임삼겹살 건대점,X, 김밥햄 ST 껍데기(150g),7900,"육류,고기",화양동,20441.05,27.053404790849783,8.0,35.05340479084978
콤마육회 연어 중곡본점,X,프리미엄한우육회비빔덮밥,10900,"육류,고기",중곡동,20441.05,37.32684964813452,8.0,45.32684964813452
황돈,O, 국내산 냉동삼겹 (150g),11000,"육류,고기",자양동,20441.05,37.66929781004401,8.0,45.66929781004401
일품제주흑돼지,X,생오겹살(200g),18000,"육류,고기",중곡동,20441.05,61.64066914370837,8.0,69.64066914370838
고육담,X, 고육담 스키야끼,15900,"육류,고기",자양동,20441.05,54.44925774360906,8.0,62.44925774360906
육초연 건대점,X, 혼밥육회세트2,16500,"육류,고기",자양동,20441.05,56.503946715066014,8.0,64.50394671506601
고기석 건대본점,X, 정육삼겹 (170g),18000,"육류,고기",화양동,20441.05,61.64066914370837,8.0,69.64066914370838
육화본,O, 암돼지 꽃목살,16000,"육류,고기",자양동,20441.05,54.79170590551856,8.0,62.79170590551856
옹녀참숯생고기전문점,X, 생목살,13000,"육류,고기",자양동,20441.05,44.51826104823382,8.0,52.51826104823382
마포회관 회양본점,X,쫀득살(200g),9900,"육류,고기",화양동,20441.05,33.9023680290396,8.0,41.9023680290396
마포생고기,X, 항정살(200g),18000,"육류,고기",자양동,20441.05,61.64066914370837,8.0,69.64066914370838
제주돈네 본점,X,제주생오겹살,13000,"육류,고기",자양동,20441.05,44.51826104823382,8.0,52.51826104823382
구의역숯불집,X,한우 육회 비빔밥,9000,"육류,고기",자양동,20441.05,30.82033457185419,-30.0,0.8203345718541897
건대참숯벽돌집 본점,X, 소갈비살 (120g),13000,"육류,고기",화양동,20441.05,44.51826104823382,8.0,52.51826104823382
돈사무소,O,고추장삼겹살,7000,"육류,고기",자양동,20441.05,23.97137133366437,8.0,31.97137133366437
성동식당,O, 묵은지 생삼겹 (200g),13000,"육류,고기",구의동,20441.05,44.51826104823382,8.0,52.51826104823382
두껍상회,X, 생오겹살(150g),13000,"육류,고기",구의동,20441.05,44.51826104823382,8.0,52.51826104823382
조그삼 건대점,X,김치삼겹살(150g)(수입),9900,"육류,고기",화양동,20441.05,33.9023680290396,8.0,41.9023680290396
육일관,O, 혼합 숙성 프라임 삼겹살 (150g),15000,"육류,고기",화양동,20441.05,51.36722428642365,25.0,76.36722428642365
간장삼겹살 동방생고기 건대점,X,원조 청주 간장삼겹살,15000,"육류,고기",화양동,20441.05,51.36722428642365,8.0,59.36722428642365
뚝섬로,O,스테이크갈비(220g),16000,"육류,고기",자양동,20441.05,54.79170590551856,8.0,62.79170590551856
제육의습격 건대점,X,불향가득제육,12900,"육류,고기",자양동,20441.05,44.17581288632434,8.0,52.17581288632434
소문난뽈살구이,X,뽈살구이(200g),12000,"육류,고기",자양동,20441.05,41.09377942913891,8.0,49.09377942913891
